,day,Hole ID,Depth Below Surface [m],Theta
6759,2015-04-19,6,5.7531,0.2911
6760,2015-04-19,6,6.0579,0.2791
6761,2015-04-19,6,6.3627,0.2774
6762,2015-04-19,6,6.6675,0.2633
6763,2015-04-19,6,6.972300000000001,0.2779
6764,2015-04-19,6,7.2771,0.2747
6765,2015-04-19,6,7.5819,0.2741
6766,2015-04-19,6,7.886699999999999,0.2754
6767,2015-04-19,6,8.1915,0.2727
6768,2015-04-19,6,8.4963,0.2814
6769,2015-04-19,6,8.8011,0.2908
6770,2015-04-19,6,9.1059,0.3281
6771,2015-04-19,7,0.8763000000000001,0.3124
6772,2015-04-19,7,1.1811,0.2783
6773,2015-04-19,7,1.4859000000000002,0.254
6774,2015-04-19,7,1.7907,0.3046
6775,2015-04-19,7,2.0955000000000004,0.3139
6776,2015-04-19,7,2.4003000000000005,0.2976
6777,2015-04-19,7,2.7051,0.293
6778,2015-04-19,7,3.0099,0.3117
6779,2015-04-19,7,3.3147,0.3035
6780,2015-04-19,7,3.6195000000000004,0.313
6781,2015-04-19,7,3.9242999999999997,0.2816
6782,2015-04-19,7,4.2291,0.2841
6783,2015-04-19,7,4.5339,0.2713
6784,2015-04-19,7,4.8387,0.2727
6785,2015-04-19,7,5.1435,0.3075
6786,2015-04-19,7,5.4483,0.2869
6787,2015-04-19,7,5.7531,0.2651
6788,2015-04-19,7,6.0579,0.2722
6789,2015-04-19,7,6.3627,0.2696
6790,2015-04-19,7,6.6675,0.2948
6791,2015-04-19,7,6.972300000000001,0.3421
6792,2015-04-19,7,7.2771,0.3079
6793,2015-04-19,7,7.5819,0.304
6794,2015-04-19,7,7.886699999999999,0.3063
6795,2015-04-19,7,8.1915,0.3095
6796,2015-04-19,7,8.4963,0.2889
6797,2015-04-19,7,8.8011,0.2974
6798,2015-04-19,7,9.1059,0.2962
6799,2015-04-19,7,9.4107,0.3002
6800,2015-04-19,7,9.7155,0.2867
6801,2015-04-19,7,10.0203,0.2872
6802,2015-04-19,7,10.3251,0.3049
6803,2015-04-19,7,10.629900000000001,0.289
6804,2015-04-19,7,10.934700000000001,0.3044
6805,2015-04-19,7,11.2395,0.2995
6806,2015-04-19,7,11.5443,0.2979
6807,2015-04-19,standard counts,-0.3429,
6808,2015-06-02,15,0.5715000000000001,0.1721
6809,2015-06-02,15,0.8763000000000001,0.2133
6810,2015-06-02,15,1.1811,0.2396
6811,2015-06-02,15,1.4859000000000002,0.2343
6812,2015-06-02,15,1.7907,0.2729
6813,2015-06-02,15,2.0955000000000004,0.2874
6814,2015-06-02,15,2.4003000000000005,0.2742
6815,2015-06-02,15,2.7051,0.2712
6816,2015-06-02,15,3.0099,0.287
6817,2015-06-02,15,3.3147,0.2976
6818,2015-06-02,15,3.6195000000000004,0.3092
6819,2015-06-02,15,3.9242999999999997,0.3
6820,2015-06-02,15,4.2291,0.2951
6821,2015-06-02,15,4.5339,0.2593
6822,2015-06-02,15,4.8387,0.2633
6823,2015-06-02,15,5.1435,0.2433
6824,2015-06-02,15,5.4483,0.2781
6825,2015-06-02,15,5.7531,0.2856
6826,2015-06-02,15,6.0579,0.2783
6827,2015-06-02,15,6.3627,0.2845
6828,2015-06-02,15,6.6675,0.2693
6829,2015-06-02,15,6.972300000000001,0.2683
6830,2015-06-02,15,7.2771,0.2633
6831,2015-06-02,15,7.5819,0.2405
6832,2015-06-02,15,7.886699999999999,0.224
6833,2015-06-02,15,8.1915,0.2218
6834,2015-06-02,15,8.4963,0.271
6835,2015-06-02,15,8.8011,0.2783
6836,2015-06-02,15,9.1059,0.305
6837,2015-06-02,15,9.4107,0.3023
6838,2015-06-02,15,9.7155,0.2645
6839,2015-06-02,15,10.0203,0.2796
6840,2015-06-02,15,10.3251,0.2434
6841,2015-06-02,15,10.629900000000001,0.2414
6842,2015-06-02,15,10.934700000000001,0.2532
6843,2015-06-02,15,11.2395,0.2541
6844,2015-06-02,15,11.5443,0.2562
6845,2015-06-02,15,11.8491,0.2487
6846,2015-06-02,15,12.1539,0.2516
6847,2015-06-02,15,12.4587,0.2193
6848,2015-06-02,15,12.7635,0.2481
6849,2015-06-02,15,13.0683,0.2524
6850,2015-06-02,15,13.3731,0.2428
6851,2015-06-02,15,13.677900000000001,0.2546
6852,2015-06-02,15,13.982700000000001,0.2477
6853,2015-06-02,15,14.287500000000001,0.2372
6854,2015-06-02,15,14.5923,0.259
6855,2015-06-02,15,14.8971,0.2666
6856,2015-06-02,15,15.2019,0.2523
6857,2015-06-02,15,15.5067,0.2595
6858,2015-06-02,15,15.811500000000002,0.2216
6859,2015-06-02,15,16.1163,0.2268
6860,2015-06-02,15,16.4211,0.2768
6861,2015-06-02,15,16.7259,0.2665
6862,2015-06-02,15,17.0307,0.2577
6863,2015-06-02,15,17.3355,0.2501
6864,2015-06-02,15,17.6403,0.2587
6865,2015-06-02,15,17.9451,0.2614
6866,2015-06-02,15,18.2499,0.2279
6867,2015-06-02,15,18.5547,0.2416
6868,2015-06-02,15,18.8595,0.2543
6869,2015-06-02,15,19.1643,0.2707
6870,2015-06-02,15,19.4691,0.2615
6871,2015-06-02,15,19.7739,0.2609
6872,2015-06-02,15,20.0787,0.2524
6873,2015-06-02,15,20.3835,0.2783
6874,2015-06-02,15,20.6883,0.2605
6875,2015-06-02,15,20.993100000000002,0.258
6876,2015-06-02,15,21.297900000000002,0.2679
6877,2015-06-02,15,21.602700000000002,0.2541
6878,2015-06-02,15,21.907500000000002,0.2432
